line_number,cleaned_line,char_length,word_count,sentiment,compound,dominant_topic,topic_keywords,topic_confidence,cluster
1,000040,6,1,neutral,0.0,0,"natsuko, come, ill, back, way, kiriko, ive, stop, return, mothers",0.2,2
2,- Mister Shoichi?,17,2,neutral,0.0,3,"get, tower, himi, cant, thank, granduncle, let, youre, see, got",0.6684753473864934,5
3,- His room.,11,2,neutral,0.0,1,"mother, know, came, time, take, world, day, baby, could, lie",0.5999821452606968,4
6,000103,6,1,neutral,0.0,0,"natsuko, come, ill, back, way, kiriko, ive, stop, return, mothers",0.2,2
7,Your mothers hospitals on fire!,31,5,negative,-0.4003,0,"natsuko, come, ill, back, way, kiriko, ive, stop, return, mothers",0.6685520773396771,3
10,000113,6,1,neutral,0.0,0,"natsuko, come, ill, back, way, kiriko, ive, stop, return, mothers",0.2,2
11,Mother!,7,1,neutral,0.0,1,"mother, know, came, time, take, world, day, baby, could, lie",0.599996134302481,4
14,000119,6,1,neutral,0.0,0,"natsuko, come, ill, back, way, kiriko, ive, stop, return, mothers",0.2,2
15,Ill go too!,11,3,negative,-0.4753,0,"natsuko, come, ill, back, way, kiriko, ive, stop, return, mothers",0.5999950808852338,3
18,000120,6,1,neutral,0.0,0,"natsuko, come, ill, back, way, kiriko, ive, stop, return, mothers",0.2,2
19,Stay here,9,2,neutral,0.0,1,"mother, know, came, time, take, world, day, baby, could, lie",0.5999788567681016,4
22,000158,6,1,neutral,0.0,0,"natsuko, come, ill, back, way, kiriko, ive, stop, return, mothers",0.2,2
23,Mother...,9,1,neutral,0.0,1,"mother, know, came, time, take, world, day, baby, could, lie",0.599996134302481,4
26,000219,6,1,neutral,0.0,0,"natsuko, come, ill, back, way, kiriko, ive, stop, return, mothers",0.2,2
27,Three years into the war,24,5,negative,-0.5994,1,"mother, know, came, time, take, world, day, baby, could, lie",0.5065736998373996,4
28,Mother died.,12,2,negative,-0.5574,3,"get, tower, himi, cant, thank, granduncle, let, youre, see, got",0.41136015383012997,5
31,000223,6,1,neutral,0.0,0,"natsuko, come, ill, back, way, kiriko, ive, stop, return, mothers",0.2,2
32,Four years in,13,3,neutral,0.0,3,"get, tower, himi, cant, thank, granduncle, let, youre, see, got",0.5999795639825828,5
33,I left Tokyo with Father.,25,5,neutral,0.0,2,"lets, eat, thats, sonny, dont, father, stone, warawara, home, mlady",0.7067707513302569,0
36,000241,6,1,neutral,0.0,0,"natsuko, come, ill, back, way, kiriko, ive, stop, return, mothers",0.2,2
37,Saginuma Station,16,2,neutral,0.0,2,"lets, eat, thats, sonny, dont, father, stone, warawara, home, mlady",0.5999397409296593,0
40,000316,6,1,neutral,0.0,0,"natsuko, come, ill, back, way, kiriko, ive, stop, return, mothers",0.2,2
41,Thats her.,10,2,neutral,0.0,2,"lets, eat, thats, sonny, dont, father, stone, warawara, home, mlady",0.5999922645581413,0
44,000329,6,1,neutral,0.0,0,"natsuko, come, ill, back, way, kiriko, ive, stop, return, mothers",0.2,2
45,She looked exactly like Mother.,31,5,positive,0.3612,0,"natsuko, come, ill, back, way, kiriko, ive, stop, return, mothers",0.4240988007428892,1
48,000333,6,1,neutral,0.0,0,"natsuko, come, ill, back, way, kiriko, ive, stop, return, mothers",0.2,2
49,Did you wait long?,18,4,neutral,0.0,4,"mahito, spinning, globe, one, look, good, must, make, long, still",0.6685429184692342,6
52,000335,6,1,neutral,0.0,0,"natsuko, come, ill, back, way, kiriko, ive, stop, return, mothers",0.2,2
53,We just arrived.,16,3,neutral,0.0,0,"natsuko, come, ill, back, way, kiriko, ive, stop, return, mothers",0.2,2
56,000337,6,1,neutral,0.0,0,"natsuko, come, ill, back, way, kiriko, ive, stop, return, mothers",0.2,2
57,Youre Mahito?,13,2,neutral,0.0,3,"get, tower, himi, cant, thank, granduncle, let, youre, see, got",0.4106820218722804,5
58,Im Natsuko.,11,2,neutral,0.0,0,"natsuko, come, ill, back, way, kiriko, ive, stop, return, mothers",0.5999973172412248,3
61,000340,6,1,neutral,0.0,0,"natsuko, come, ill, back, way, kiriko, ive, stop, return, mothers",0.2,2
62,Sorry Im late.,14,3,negative,-0.0772,0,"natsuko, come, ill, back, way, kiriko, ive, stop, return, mothers",0.5999751872755161,3
63,We had a flat tire on the way.,30,8,neutral,0.0,0,"natsuko, come, ill, back, way, kiriko, ive, stop, return, mothers",0.5999917992772283,3
66,000348,6,1,neutral,0.0,0,"natsuko, come, ill, back, way, kiriko, ive, stop, return, mothers",0.2,2
67,Youve grown up.,15,3,neutral,0.0,4,"mahito, spinning, globe, one, look, good, must, make, long, still",0.5999594426846961,6
70,000350,6,1,neutral,0.0,0,"natsuko, come, ill, back, way, kiriko, ive, stop, return, mothers",0.2,2
71,Ive met you once,16,4,neutral,0.0,0,"natsuko, come, ill, back, way, kiriko, ive, stop, return, mothers",0.6679942718058258,3
72,when you were a baby.,21,5,neutral,0.0,1,"mother, know, came, time, take, world, day, baby, could, lie",0.5999852501699758,4
75,000354,6,1,neutral,0.0,0,"natsuko, come, ill, back, way, kiriko, ive, stop, return, mothers",0.2,2
76,The factory first?,18,3,neutral,0.0,0,"natsuko, come, ill, back, way, kiriko, ive, stop, return, mothers",0.3806105905810248,1
79,000355,6,1,neutral,0.0,0,"natsuko, come, ill, back, way, kiriko, ive, stop, return, mothers",0.2,2
80,Yes. Ill be back for dinner.,28,6,neutral,-0.0258,0,"natsuko, come, ill, back, way, kiriko, ive, stop, return, mothers",0.7062478565641894,3
83,000404,6,1,neutral,0.0,0,"natsuko, come, ill, back, way, kiriko, ive, stop, return, mothers",0.2,2
84,Perfect timing.,15,2,positive,0.5719,2,"lets, eat, thats, sonny, dont, father, stone, warawara, home, mlady",0.5999543463720123,0
87,000405,6,1,neutral,0.0,0,"natsuko, come, ill, back, way, kiriko, ive, stop, return, mothers",0.2,2
88,Come,4,1,neutral,0.0,0,"natsuko, come, ill, back, way, kiriko, ive, stop, return, mothers",0.5999952719035805,3
91,000406,6,1,neutral,0.0,0,"natsuko, come, ill, back, way, kiriko, ive, stop, return, mothers",0.2,2
92,Thats heavy.,12,2,neutral,0.0,2,"lets, eat, thats, sonny, dont, father, stone, warawara, home, mlady",0.5999922645581413,0
95,000411,6,1,neutral,0.0,0,"natsuko, come, ill, back, way, kiriko, ive, stop, return, mothers",0.2,2
96,After you.,10,2,neutral,0.0,0,"natsuko, come, ill, back, way, kiriko, ive, stop, return, mothers",0.2,2
99,000424,6,1,neutral,0.0,0,"natsuko, come, ill, back, way, kiriko, ive, stop, return, mothers",0.2,2
100,To the residence.,17,3,neutral,0.0,4,"mahito, spinning, globe, one, look, good, must, make, long, still",0.5999459812744452,6
103,000435,6,1,neutral,0.0,0,"natsuko, come, ill, back, way, kiriko, ive, stop, return, mothers",0.2,2
104,Mahito,6,1,neutral,0.0,4,"mahito, spinning, globe, one, look, good, must, make, long, still",0.5999972568051255,6
105,new mother. Did you know?,25,5,neutral,0.0,1,"mother, know, came, time, take, world, day, baby, could, lie",0.7041121456022477,4
108,000442,6,1,neutral,0.0,0,"natsuko, come, ill, back, way, kiriko, ive, stop, return, mothers",0.2,2
109,Your hand.,10,2,positive,0.4939,2,"lets, eat, thats, sonny, dont, father, stone, warawara, home, mlady",0.5999699118291308,0
112,000447,6,1,neutral,0.0,0,"natsuko, come, ill, back, way, kiriko, ive, stop, return, mothers",0.2,2
113,Go on,5,2,neutral,0.0,0,"natsuko, come, ill, back, way, kiriko, ive, stop, return, mothers",0.2,2
116,000450,6,1,neutral,0.0,0,"natsuko, come, ill, back, way, kiriko, ive, stop, return, mothers",0.2,2
117,Feel it moving?,15,3,neutral,0.0,0,"natsuko, come, ill, back, way, kiriko, ive, stop, return, mothers",0.2,2
120,000455,6,1,neutral,0.0,0,"natsuko, come, ill, back, way, kiriko, ive, stop, return, mothers",0.2,2
121,A baby. Your little,19,4,neutral,0.0,4,"mahito, spinning, globe, one, look, good, must, make, long, still",0.3817664328286533,1
122,brother or sister.,18,3,neutral,0.0,0,"natsuko, come, ill, back, way, kiriko, ive, stop, return, mothers",0.5999806044360102,3
125,000458,6,1,neutral,0.0,0,"natsuko, come, ill, back, way, kiriko, ive, stop, return, mothers",0.2,2
126,Im so delighted.,16,3,positive,0.5563,0,"natsuko, come, ill, back, way, kiriko, ive, stop, return, mothers",0.2,2
