line_number,cleaned_line,char_length,word_count,sentiment,compound,dominant_topic,topic_keywords,topic_confidence,cluster
1,Ill never forget that summer.,29,5,negative,-0.281,0,"haru, saw, ill, little, yes, leaving, need, whas, thas, people",0.724491616955233,3
2,I spent a week in the old house,31,8,neutral,0.0,1,"thanks, okay, hope, sho, best, thank, time, house, seen, going",0.7215320892873796,0
3,Almost there. Feeling all right?,32,5,positive,0.0571,3,"mother, right, youre, dont, one, niya, wait, family, way, always",0.6249630375916335,1
4,Yes.,4,1,positive,0.4019,0,"haru, saw, ill, little, yes, leaving, need, whas, thas, people",0.6249343069041192,3
5,The Secret World of,19,4,neutral,0.0,2,"arrietty, papa, les, see, take, get, wont, care, got, pod",0.624837022940085,2
6,Haru... How many times have I told her?,39,8,neutral,0.0,3,"mother, right, youre, dont, one, niya, wait, family, way, always",0.31878609115003337,4
7,- Ill be right back.,20,4,negative,-0.4215,1,"thanks, okay, hope, sho, best, thank, time, house, seen, going",0.31344330825540284,4
8,Haru!,5,1,neutral,0.0,0,"haru, saw, ill, little, yes, leaving, need, whas, thas, people",0.624955589200095,3
9,Youre blocking the driveway again.,34,5,negative,-0.3818,3,"mother, right, youre, dont, one, niya, wait, family, way, always",0.6249382434416509,1
10,Sho?,4,1,neutral,0.0,1,"thanks, okay, hope, sho, best, thank, time, house, seen, going",0.6249340159346826,0
11,Where are you?,14,3,neutral,0.0,0,"haru, saw, ill, little, yes, leaving, need, whas, thas, people",0.25,4
12,Dont touch!,11,2,neutral,0.0,3,"mother, right, youre, dont, one, niya, wait, family, way, always",0.6869258041073074,1
13,These arent for you.,20,4,neutral,0.0,1,"thanks, okay, hope, sho, best, thank, time, house, seen, going",0.6247249658970815,0
14,- Arrietty!,11,1,neutral,0.0,2,"arrietty, papa, les, see, take, get, wont, care, got, pod",0.6249823670879809,2
15,"You went outside again, didnt you?",34,6,neutral,0.0,1,"thanks, okay, hope, sho, best, thank, time, house, seen, going",0.719289136059099,0
16,"And you might clean up this room,",33,7,positive,0.4019,3,"mother, right, youre, dont, one, niya, wait, family, way, always",0.6248754407855516,1
