line_number,cleaned_line,char_length,word_count,sentiment,compound,dominant_topic,topic_keywords,topic_confidence,cluster
1,"Good luck, Chihiro",18,3,positive,0.7096,0,"chihiro, come, hurry, see, cant, good, wait, take, got, kamaji",0.7233536734203065,2
2,Chihiro? Chihiro!,17,2,neutral,0.0,0,"chihiro, come, hurry, see, cant, good, wait, take, got, kamaji",0.6249835180973121,2
3,Were almost there.,18,3,neutral,0.0,3,"way, lin, little, give, still, eat, inside, coming, tell, sorry",0.6248321855263712,0
4,This really is the middle of nowhere.,37,7,neutral,0.0,0,"chihiro, come, hurry, see, cant, good, wait, take, got, kamaji",0.25,4
5,Ill have to shop in the next town.,34,8,negative,-0.4215,1,"sen, right, please, youre, thank, ill, yubaba, one, hes, gold",0.6864423381207034,1
6,Well just have to make do.,26,6,positive,0.2732,2,"haku, dont, back, mom, thats, dad, look, get, name, lets",0.6248745815773661,6
7,"Look, theres the elementary school.",35,5,neutral,0.0,2,"haku, dont, back, mom, thats, dad, look, get, name, lets",0.521573190735667,5
8,"Thats your new school, Chihiro.",31,5,neutral,0.0,2,"haku, dont, back, mom, thats, dad, look, get, name, lets",0.42891000296882764,5
9,"Why, it looks very nice.",24,5,positive,0.4754,0,"chihiro, come, hurry, see, cant, good, wait, take, got, kamaji",0.6890748123245383,2
10,I liked my old school.,22,5,positive,0.4215,2,"haku, dont, back, mom, thats, dad, look, get, name, lets",0.6246955194939082,6
11,"Mom, my flowers got bent.",25,5,neutral,0.0,2,"haku, dont, back, mom, thats, dad, look, get, name, lets",0.40003992424990237,3
12,"No wonder,",10,2,negative,-0.296,0,"chihiro, come, hurry, see, cant, good, wait, take, got, kamaji",0.6246569121323668,2
13,A little water,14,3,neutral,0.0,1,"sen, right, please, youre, thank, ill, yubaba, one, hes, gold",0.41270806348910105,4
14,"My first bouquet,",17,3,neutral,0.0,3,"way, lin, little, give, still, eat, inside, coming, tell, sorry",0.6247049542143498,0
15,What about the rose,19,4,neutral,0.0,1,"sen, right, please, youre, thank, ill, yubaba, one, hes, gold",0.6246647269791674,1
16,One rose?,9,2,neutral,0.0,1,"sen, right, please, youre, thank, ill, yubaba, one, hes, gold",0.6868619936611537,1
17,You dropped the card.,21,4,neutral,0.0,1,"sen, right, please, youre, thank, ill, yubaba, one, hes, gold",0.6247142705724471,1
18,Now pull yourself together.,27,4,neutral,0.0,3,"way, lin, little, give, still, eat, inside, coming, tell, sorry",0.6890282550196036,0
19,SPIRITED AWAY,13,2,positive,0.3182,2,"haku, dont, back, mom, thats, dad, look, get, name, lets",0.6249134767765087,6
20,Wait a minute.,14,3,neutral,0.0,2,"haku, dont, back, mom, thats, dad, look, get, name, lets",0.42217829562832104,3
21,I dont get it.,14,4,neutral,0.0,2,"haku, dont, back, mom, thats, dad, look, get, name, lets",0.6888216709141686,6
22,That must be it up there.,25,6,neutral,0.0,0,"chihiro, come, hurry, see, cant, good, wait, take, got, kamaji",0.624884608399532,2
23,The blue one on the end.,24,6,neutral,0.0,1,"sen, right, please, youre, thank, ill, yubaba, one, hes, gold",0.6869224422480676,1
24,Thats it.,9,2,neutral,0.0,2,"haku, dont, back, mom, thats, dad, look, get, name, lets",0.6249593929351108,6
25,I guess I turned off too soon.,30,7,neutral,0.0,2,"haku, dont, back, mom, thats, dad, look, get, name, lets",0.5169129234112105,3
26,Maybe if we go straight?,24,5,positive,0.2263,0,"chihiro, come, hurry, see, cant, good, wait, take, got, kamaji",0.6247878794551874,2
27,"Oh, please.",11,2,positive,0.3182,1,"sen, right, please, youre, thank, ill, yubaba, one, hes, gold",0.6249704751153283,1
