line_number,cleaned_line,char_length,word_count,sentiment,compound,dominant_topic,topic_keywords,topic_confidence,cluster
1,TOKUMA SHOTEN presents,22,3,neutral,0.0,0,"laputa, stone, ill, theyre, theres, nice, muska, help, never, spell",0.3333333333333333,4
2,Pirates!,8,1,neutral,0.0,2,"pazu, dont, look, way, whats, know, pirates, got, see, come",0.6663021720271085,0
3,Its a raid!,11,3,neutral,0.0,0,"laputa, stone, ill, theyre, theres, nice, muska, help, never, spell",0.3333333333333333,4
4,Hold them off!,14,3,neutral,0.0,2,"pazu, dont, look, way, whats, know, pirates, got, see, come",0.6656456880638151,0
5,Its tear gas!,13,3,neutral,0.0,1,"sheeta, get, wait, hurry, girl, youre, mama, cant, let, maam",0.6648627636172153,3
6,What are you waiting for!,25,5,neutral,0.0,0,"laputa, stone, ill, theyre, theres, nice, muska, help, never, spell",0.3333333333333333,4
7,Whered she go?,14,3,neutral,0.0,1,"sheeta, get, wait, hurry, girl, youre, mama, cant, let, maam",0.6652100288155564,3
8,Shes here!,10,2,neutral,0.0,0,"laputa, stone, ill, theyre, theres, nice, muska, help, never, spell",0.6661756421609335,2
9,Shes hiding out here.,21,4,negative,-0.296,0,"laputa, stone, ill, theyre, theres, nice, muska, help, never, spell",0.6661756421609335,2
10,"Well, get her!",14,3,positive,0.3382,1,"sheeta, get, wait, hurry, girl, youre, mama, cant, let, maam",0.6664805271139469,3
11,"Mama, Im falling!",17,3,negative,-0.2244,0,"laputa, stone, ill, theyre, theres, nice, muska, help, never, spell",0.45836005817220504,1
12,Theres the stone.,17,3,neutral,0.0,0,"laputa, stone, ill, theyre, theres, nice, muska, help, never, spell",0.7233073657767989,2
13,The crystal.,12,2,neutral,0.0,1,"sheeta, get, wait, hurry, girl, youre, mama, cant, let, maam",0.6661122615378121,3
14,There goes the crystal.,23,4,neutral,0.0,1,"sheeta, get, wait, hurry, girl, youre, mama, cant, let, maam",0.7234292652073175,3
15,Castle in the Sky,17,4,neutral,0.0,2,"pazu, dont, look, way, whats, know, pirates, got, see, come",0.7138979495617168,0
16,Executive Producer,18,2,neutral,0.0,1,"sheeta, get, wait, hurry, girl, youre, mama, cant, let, maam",0.6658539689357615,3
17,Music by,8,2,neutral,0.0,0,"laputa, stone, ill, theyre, theres, nice, muska, help, never, spell",0.3333333333333333,4
18,Production,10,1,neutral,0.0,1,"sheeta, get, wait, hurry, girl, youre, mama, cant, let, maam",0.6655181621601537,3
19,Producer,8,1,neutral,0.0,1,"sheeta, get, wait, hurry, girl, youre, mama, cant, let, maam",0.6658539689357615,3
20,Original story written and directed by,38,6,positive,0.3182,2,"pazu, dont, look, way, whats, know, pirates, got, see, come",0.7762579884864951,0
21,"Two meatballs, please.",22,3,positive,0.3182,2,"pazu, dont, look, way, whats, know, pirates, got, see, come",0.723148576615115,0
22,Working late?,13,2,neutral,0.0,0,"laputa, stone, ill, theyre, theres, nice, muska, help, never, spell",0.6652897176128107,2
23,Were finally busy again.,24,4,neutral,0.0,2,"pazu, dont, look, way, whats, know, pirates, got, see, come",0.6652504186218445,0
24,Still working?,14,2,neutral,0.0,0,"laputa, stone, ill, theyre, theres, nice, muska, help, never, spell",0.7226947723049661,2
25,Whats that?,11,2,neutral,0.0,2,"pazu, dont, look, way, whats, know, pirates, got, see, come",0.6663415931193917,0
26,A person!,9,2,neutral,0.0,0,"laputa, stone, ill, theyre, theres, nice, muska, help, never, spell",0.3333333333333333,4
27,Pazu!,5,1,neutral,0.0,2,"pazu, dont, look, way, whats, know, pirates, got, see, come",0.6665726928210675,0
28,What are you up to?,19,5,neutral,0.0,0,"laputa, stone, ill, theyre, theres, nice, muska, help, never, spell",0.3333333333333333,4
29,Boss!,5,1,neutral,0.0,1,"sheeta, get, wait, hurry, girl, youre, mama, cant, let, maam",0.6657929093348103,3
30,A girl fell from the sky.,25,6,neutral,0.0,0,"laputa, stone, ill, theyre, theres, nice, muska, help, never, spell",0.5509699277729216,1
31,"Boss, she fell from the sky.",28,6,neutral,0.0,0,"laputa, stone, ill, theyre, theres, nice, muska, help, never, spell",0.5266309612225405,1
32,Darn old clunker.,17,3,neutral,0.0,1,"sheeta, get, wait, hurry, girl, youre, mama, cant, let, maam",0.7438236953429113,3
33,Boss! A girl.,13,3,neutral,0.0,1,"sheeta, get, wait, hurry, girl, youre, mama, cant, let, maam",0.7225122952033057,3
34,Close the second valve!,23,4,neutral,0.0,0,"laputa, stone, ill, theyre, theres, nice, muska, help, never, spell",0.3333333333333333,4
35,Ouch!,5,1,neutral,0.0,0,"laputa, stone, ill, theyre, theres, nice, muska, help, never, spell",0.3333333333333333,4
36,I cant let go. You do it.,25,7,neutral,0.0,1,"sheeta, get, wait, hurry, girl, youre, mama, cant, let, maam",0.7235416256984399,3
37,Dont make them wait.,20,4,neutral,0.0,2,"pazu, dont, look, way, whats, know, pirates, got, see, come",0.5493360784833993,5
38,Keep a steady hand.,19,4,positive,0.4939,1,"sheeta, get, wait, hurry, girl, youre, mama, cant, let, maam",0.7548364910119976,3
39,Brake!,6,1,neutral,0.0,0,"laputa, stone, ill, theyre, theres, nice, muska, help, never, spell",0.3333333333333333,4
40,Any luck?,9,2,positive,0.4588,0,"laputa, stone, ill, theyre, theres, nice, muska, help, never, spell",0.665216008833713,2
41,"No silver, no tin even.",23,5,negative,-0.5267,2,"pazu, dont, look, way, whats, know, pirates, got, see, come",0.6660970415304086,0
42,All that wasted work.,21,4,negative,-0.4939,1,"sheeta, get, wait, hurry, girl, youre, mama, cant, let, maam",0.6660926101800607,3
43,Should try the east vein.,25,5,neutral,0.0,0,"laputa, stone, ill, theyre, theres, nice, muska, help, never, spell",0.7224889502376537,2
44,Thats riddled with old holes,28,5,neutral,0.0,1,"sheeta, get, wait, hurry, girl, youre, mama, cant, let, maam",0.4401736104163726,5
45,Have to start over,18,4,neutral,0.0,0,"laputa, stone, ill, theyre, theres, nice, muska, help, never, spell",0.3333333333333333,4
