line_number,cleaned_line,char_length,word_count,sentiment,compound,dominant_topic,topic_keywords,topic_confidence,cluster
1,Yeah?,5,1,positive,0.296,3,"come, ill, one, get, see, back, fio, cant, girl, put",0.624908502083869,3
2,Porco Rosso!,12,2,neutral,0.0,2,"gina, win, bet, porco, youre, thats, pig, take, going, plane",0.6873599664419414,2
3,The Mamma Aiutos?,17,3,neutral,0.0,3,"come, ill, one, get, see, back, fio, cant, girl, put",0.6891578213859555,3
4,Theyre after a mines payroll,28,5,neutral,0.0,2,"gina, win, bet, porco, youre, thats, pig, take, going, plane",0.6249301606442306,2
5,- Is that all?,14,3,neutral,0.0,0,"right, got, hes, shut, pilots, time, coming, know, shes, money",0.25,4
6,Theres a school tour group aboard.,34,6,neutral,0.0258,2,"gina, win, bet, porco, youre, thats, pig, take, going, plane",0.7148480852664262,2
7,Thatll cost you.,16,3,neutral,0.0,1,"end, good, old, days, tell, dont, look, beautiful, way, stop",0.6245855571159608,5
8,Well pay top dollar.,20,4,positive,0.3612,3,"come, ill, one, get, see, back, fio, cant, girl, put",0.6249063930139944,3
9,And a bonus too.,16,4,positive,0.5423,0,"right, got, hes, shut, pilots, time, coming, know, shes, money",0.25,4
10,Stop!,5,1,negative,-0.3595,1,"end, good, old, days, tell, dont, look, beautiful, way, stop",0.6248889291583096,5
11,Stop or we sink you.,20,5,negative,-0.296,1,"end, good, old, days, tell, dont, look, beautiful, way, stop",0.6826886858570653,5
12,"Wow, pirates!",13,2,positive,0.6239,3,"come, ill, one, get, see, back, fio, cant, girl, put",0.6248906540801357,3
13,Not just pirates. Air pirates!,30,5,neutral,0.0,3,"come, ill, one, get, see, back, fio, cant, girl, put",0.6771887247033712,3
14,Time for an overhaul.,21,4,neutral,0.0,0,"right, got, hes, shut, pilots, time, coming, know, shes, money",0.6249407597835509,0
15,Are you bad guys?,17,4,negative,-0.5423,1,"end, good, old, days, tell, dont, look, beautiful, way, stop",0.689125994613758,5
16,Yep.,4,1,positive,0.296,0,"right, got, hes, shut, pilots, time, coming, know, shes, money",0.25,4
17,And were hostages?,18,3,neutral,0.0,2,"gina, win, bet, porco, youre, thats, pig, take, going, plane",0.6246229356261103,2
18,- Right.,8,1,neutral,0.0,0,"right, got, hes, shut, pilots, time, coming, know, shes, money",0.6249641298943358,0
19,Smart girl.,11,2,positive,0.4019,3,"come, ill, one, get, see, back, fio, cant, girl, put",0.6879245862037081,3
20,A skull!,8,2,neutral,0.0,0,"right, got, hes, shut, pilots, time, coming, know, shes, money",0.25,4
21,- And very well-drawn.,22,4,neutral,0.0,0,"right, got, hes, shut, pilots, time, coming, know, shes, money",0.25,4
22,"Come on, hurry up!",18,4,neutral,0.0,2,"gina, win, bet, porco, youre, thats, pig, take, going, plane",0.4335394782116978,6
23,Theres 15 of them. Do we take them all?,39,9,neutral,0.0,2,"gina, win, bet, porco, youre, thats, pig, take, going, plane",0.6891172452345113,2
24,We cant leave anyone out.,25,5,neutral,0.0382,0,"right, got, hes, shut, pilots, time, coming, know, shes, money",0.4065919105646479,4
25,Too late!,9,2,neutral,0.0,0,"right, got, hes, shut, pilots, time, coming, know, shes, money",0.25,4
26,They took the girls and the money.,34,7,neutral,0.0,0,"right, got, hes, shut, pilots, time, coming, know, shes, money",0.6790245020504426,0
27,Bring them back!,16,3,neutral,0.0,3,"come, ill, one, get, see, back, fio, cant, girl, put",0.6877680225466407,3
28,They went that way.,19,4,neutral,0.0,1,"end, good, old, days, tell, dont, look, beautiful, way, stop",0.6888771740276599,5
29,"No, not that way!",17,4,negative,-0.3595,1,"end, good, old, days, tell, dont, look, beautiful, way, stop",0.6248975549345769,5
30,I know what those cheapskates are up to.,40,8,neutral,0.0,0,"right, got, hes, shut, pilots, time, coming, know, shes, money",0.62493517729729,0
31,Theyll change course for the nearest,36,6,neutral,0.0,1,"end, good, old, days, tell, dont, look, beautiful, way, stop",0.6246978209988489,5
32,They cant waste gas.,20,4,positive,0.3252,3,"come, ill, one, get, see, back, fio, cant, girl, put",0.6879649741625277,3
33,Uh-oh.,6,2,neutral,0.0,0,"right, got, hes, shut, pilots, time, coming, know, shes, money",0.25,4
34,Come on!,8,2,neutral,0.0,3,"come, ill, one, get, see, back, fio, cant, girl, put",0.6249684300486482,3
35,I dont have much time.,22,5,neutral,0.0,0,"right, got, hes, shut, pilots, time, coming, know, shes, money",0.5563454244500299,0
36,Gotcha!,7,1,neutral,0.0,0,"right, got, hes, shut, pilots, time, coming, know, shes, money",0.6247750732230551,0
37,"What, its just a tour group.",28,6,neutral,0.0,3,"come, ill, one, get, see, back, fio, cant, girl, put",0.6819709764064584,3
38,"Hey, its a pig. A pig!",22,6,neutral,0.0,2,"gina, win, bet, porco, youre, thats, pig, take, going, plane",0.6203146639817728,2
39,"Hey, piggy! Hes so cute!",24,5,positive,0.6652,0,"right, got, hes, shut, pilots, time, coming, know, shes, money",0.6878294054553759,0
40,Be careful or the pirates will get you.,39,8,positive,0.1531,3,"come, ill, one, get, see, back, fio, cant, girl, put",0.6867602302811984,3
41,Hes so cool!,12,3,positive,0.4376,0,"right, got, hes, shut, pilots, time, coming, know, shes, money",0.687855547722707,0
42,Will you all shut up?,21,5,neutral,0.0,0,"right, got, hes, shut, pilots, time, coming, know, shes, money",0.624946690719783,0
43,- Were flying!,14,2,neutral,0.0,0,"right, got, hes, shut, pilots, time, coming, know, shes, money",0.25,4
44,"Hey, cut that out!",18,4,negative,-0.3382,0,"right, got, hes, shut, pilots, time, coming, know, shes, money",0.25,4
45,"Be quiet, will you?",19,4,neutral,0.0,1,"end, good, old, days, tell, dont, look, beautiful, way, stop",0.6247893664539952,5
46,Do something!,13,2,neutral,0.0,0,"right, got, hes, shut, pilots, time, coming, know, shes, money",0.25,4
47,Youre the one who said to bring them all.,41,9,neutral,0.0,3,"come, ill, one, get, see, back, fio, cant, girl, put",0.6102129081195736,3
48,Just for a second.,18,4,neutral,0.0,2,"gina, win, bet, porco, youre, thats, pig, take, going, plane",0.6246713651507272,2
49,"Its beautiful. Hey, look!",25,4,positive,0.636,1,"end, good, old, days, tell, dont, look, beautiful, way, stop",0.6892596241563813,5
50,A red plane!,12,3,neutral,0.0,2,"gina, win, bet, porco, youre, thats, pig, take, going, plane",0.6883511831037309,2
51,Where? Where?,13,2,neutral,0.0,0,"right, got, hes, shut, pilots, time, coming, know, shes, money",0.25,4
52,"- We saw it, didnt we?",22,5,neutral,0.0,0,"right, got, hes, shut, pilots, time, coming, know, shes, money",0.6889404701841005,0
53,Thats as far as you go.,23,6,neutral,0.0,3,"come, ill, one, get, see, back, fio, cant, girl, put",0.6736226446640413,3
54,Here he comes!,14,3,neutral,0.0,2,"gina, win, bet, porco, youre, thats, pig, take, going, plane",0.6248560943693614,2
55,- Its Porco!,12,2,neutral,0.0,2,"gina, win, bet, porco, youre, thats, pig, take, going, plane",0.6249753081213054,2
56,"Oh, no!",7,2,negative,-0.3595,0,"right, got, hes, shut, pilots, time, coming, know, shes, money",0.25,4
57,- It stopped.,13,2,negative,-0.2263,0,"right, got, hes, shut, pilots, time, coming, know, shes, money",0.25,4
58,"No, weve got another engine.",28,5,negative,-0.296,0,"right, got, hes, shut, pilots, time, coming, know, shes, money",0.7465181786288173,0
