line_number,cleaned_line,char_length,word_count,sentiment,compound,dominant_topic,topic_keywords,topic_confidence,cluster
1,Another village destroyed.,26,3,negative,-0.4939,0,"pejite, highness, asbel, ill, want, cant, shes, sorry, know, kill",0.6949717755533436,5
2,Lets go. Soon this will also be,31,7,neutral,0.0,0,"pejite, highness, asbel, ill, want, cant, shes, sorry, know, kill",0.6542682002729461,5
3,1000 years after the collapse,29,5,negative,-0.4939,2,"hurry, please, yes, must, wait, get, hold, burn, rage, spores",0.5833260669739312,4
4,"the Sea of Decay, a swamp",25,6,negative,-0.4019,4,"youre, sea, thank, fire, decay, whats, coming, gun, even, giant",0.6547773564669289,2
5,covered an earth strewn,23,4,neutral,0.0,5,"princess, nausica, wind, valley, come, right, earth, forest, ohmus, return",0.5833315798385786,3
6,threatening human survival.,27,3,negative,-0.5267,3,"yupa, lord, everyone, ship, see, good, theres, world, give, safe",0.5833296752397239,6
7,NAUSICA OF THE VALLEY OF THE WIND,33,7,neutral,0.0,5,"princess, nausica, wind, valley, come, right, earth, forest, ohmus, return",0.6949613211540564,3
8,Executive Producers,19,2,neutral,0.0,0,"pejite, highness, asbel, ill, want, cant, shes, sorry, know, kill",0.16666666666666669,0
9,Original story and screenplay by,32,5,positive,0.3182,0,"pejite, highness, asbel, ill, want, cant, shes, sorry, know, kill",0.16666666666666669,0
10,Based on the serial graphic novel,33,6,positive,0.3182,0,"pejite, highness, asbel, ill, want, cant, shes, sorry, know, kill",0.16666666666666669,0
11,Music by,8,2,neutral,0.0,0,"pejite, highness, asbel, ill, want, cant, shes, sorry, know, kill",0.16666666666666669,0
12,Producer,8,1,neutral,0.0,0,"pejite, highness, asbel, ill, want, cant, shes, sorry, know, kill",0.16666666666666669,0
13,Director,8,1,neutral,0.0,0,"pejite, highness, asbel, ill, want, cant, shes, sorry, know, kill",0.16666666666666669,0
14,An Ohmus tracks.,16,3,neutral,0.0,5,"princess, nausica, wind, valley, come, right, earth, forest, ohmus, return",0.5829032085779033,3
15,Theyre still fresh.,19,3,positive,0.3182,1,"dont, ohmu, look, mito, obaba, theyre, take, thats, move, way",0.6544499688868837,1
16,An Ohmus shell.,15,3,neutral,0.0,2,"hurry, please, yes, must, wait, get, hold, burn, rage, spores",0.6525778217835642,4
17,Amazing!,8,1,positive,0.6239,0,"pejite, highness, asbel, ill, want, cant, shes, sorry, know, kill",0.16666666666666669,0
18,Ive never seen a perfect shell.,31,6,negative,-0.4585,2,"hurry, please, yes, must, wait, get, hold, burn, rage, spores",0.7221187381618326,4
19,Lovely sound.,13,2,positive,0.5859,4,"youre, sea, thank, fire, decay, whats, coming, gun, even, giant",0.6541905749066157,2
20,It chipped my ceramic sword.,28,5,neutral,0.0,3,"yupa, lord, everyone, ship, see, good, theres, world, give, safe",0.6547720698384665,6
21,The villagers will be pleased.,30,5,positive,0.4404,4,"youre, sea, thank, fire, decay, whats, coming, gun, even, giant",0.6547691471179632,2
22,Theyll have plenty to,21,4,neutral,0.0,1,"dont, ohmu, look, mito, obaba, theyre, take, thats, move, way",0.5833281443714176,1
23,"What an eye,",12,3,neutral,0.0,5,"princess, nausica, wind, valley, come, right, earth, forest, ohmus, return",0.5833215431828543,3
24,I wonder if I can carry it.,27,7,neutral,0.0,5,"princess, nausica, wind, valley, come, right, earth, forest, ohmus, return",0.6536669584393575,3
25,It came free.,13,3,positive,0.5106,3,"yupa, lord, everyone, ship, see, good, theres, world, give, safe",0.5833282525235106,6
26,Its incredibly light.,21,3,neutral,0.0,3,"yupa, lord, everyone, ship, see, good, theres, world, give, safe",0.5833291860262583,6
27,Mushigo Palm spores.,20,3,neutral,0.0,2,"hurry, please, yes, must, wait, get, hold, burn, rage, spores",0.5833308832771197,4
28,So beautiful...,15,2,neutral,0.0,5,"princess, nausica, wind, valley, come, right, earth, forest, ohmus, return",0.5833254264091301,3
29,"Though in this forest of death,",31,6,negative,-0.5994,2,"hurry, please, yes, must, wait, get, hold, burn, rage, spores",0.5132548322774232,4
30,in 5 minutes without a mask,27,6,neutral,0.0,5,"princess, nausica, wind, valley, come, right, earth, forest, ohmus, return",0.652869768771457,3
31,Who is that?,12,3,neutral,0.0,0,"pejite, highness, asbel, ill, want, cant, shes, sorry, know, kill",0.16666666666666669,0
32,What can it be?,15,4,neutral,0.0,0,"pejite, highness, asbel, ill, want, cant, shes, sorry, know, kill",0.16666666666666669,0
33,My hearts pounding.,19,3,neutral,0.0,4,"youre, sea, thank, fire, decay, whats, coming, gun, even, giant",0.5833286583700019,2
34,Those are gunshots.,19,3,neutral,0.0,0,"pejite, highness, asbel, ill, want, cant, shes, sorry, know, kill",0.16666666666666669,0
35,An insect is attacking someone.,31,5,negative,-0.4588,4,"youre, sea, thank, fire, decay, whats, coming, gun, even, giant",0.6546228109631902,2
36,Im sorry!,9,2,negative,-0.1511,0,"pejite, highness, asbel, ill, want, cant, shes, sorry, know, kill",0.5833313091991714,5
37,Over there!,11,2,neutral,0.0,0,"pejite, highness, asbel, ill, want, cant, shes, sorry, know, kill",0.16666666666666669,0
38,What a thick spore cloud.,25,5,neutral,0.0,0,"pejite, highness, asbel, ill, want, cant, shes, sorry, know, kill",0.16666666666666669,0
39,An Ohmu!,8,2,neutral,0.0,1,"dont, ohmu, look, mito, obaba, theyre, take, thats, move, way",0.5833323243235259,1
40,That must have been its shell.,30,6,neutral,0.0,2,"hurry, please, yes, must, wait, get, hold, burn, rage, spores",0.6541647788897343,4
41,Dont run that way.,18,4,neutral,0.0,1,"dont, ohmu, look, mito, obaba, theyre, take, thats, move, way",0.691732121388646,1
42,Look this way!,14,3,neutral,0.0,1,"dont, ohmu, look, mito, obaba, theyre, take, thats, move, way",0.6545475792842153,1
43,They answered!,14,2,neutral,0.0,0,"pejite, highness, asbel, ill, want, cant, shes, sorry, know, kill",0.16666666666666669,0
44,Whos that?,10,2,neutral,0.0,0,"pejite, highness, asbel, ill, want, cant, shes, sorry, know, kill",0.16666666666666669,0
45,What a magnificent Ohmu!,24,4,positive,0.636,1,"dont, ohmu, look, mito, obaba, theyre, take, thats, move, way",0.5833323243235259,1
46,Go upwind!,10,2,neutral,0.0,0,"pejite, highness, asbel, ill, want, cant, shes, sorry, know, kill",0.16666666666666669,0
47,"Return to the forest, Ohmu.",27,5,neutral,0.0,5,"princess, nausica, wind, valley, come, right, earth, forest, ohmus, return",0.4718880812547495,3
48,This is not your world.,23,5,neutral,0.0,3,"yupa, lord, everyone, ship, see, good, theres, world, give, safe",0.583331354393634,6
49,Be a good boy.,14,4,positive,0.4404,3,"yupa, lord, everyone, ship, see, good, theres, world, give, safe",0.6543913354429841,6
50,Its blinded by rage.,20,4,negative,-0.5574,2,"hurry, please, yes, must, wait, get, hold, burn, rage, spores",0.5833310604077486,4
51,Ive got to calm him.,20,5,positive,0.3182,0,"pejite, highness, asbel, ill, want, cant, shes, sorry, know, kill",0.2744173355798168,0
52,The flares stunned it.,22,4,negative,-0.1027,3,"yupa, lord, everyone, ship, see, good, theres, world, give, safe",0.5833293809155409,6
53,An insect charm.,16,3,positive,0.4019,4,"youre, sea, thank, fire, decay, whats, coming, gun, even, giant",0.5833307127404264,2
54,"Awaken, Ohmu.",13,2,neutral,0.0,1,"dont, ohmu, look, mito, obaba, theyre, take, thats, move, way",0.5833323243235259,1
55,Return to the forest.,21,4,neutral,0.0,5,"princess, nausica, wind, valley, come, right, earth, forest, ohmus, return",0.6547048568620292,3
56,Its awake.,10,2,neutral,0.0,0,"pejite, highness, asbel, ill, want, cant, shes, sorry, know, kill",0.16666666666666669,0
57,The Ohmus returning to the forest.,34,6,neutral,0.0,5,"princess, nausica, wind, valley, come, right, earth, forest, ohmus, return",0.6546746423725462,3
58,She tamed that Ohmu with,24,5,neutral,0.0,1,"dont, ohmu, look, mito, obaba, theyre, take, thats, move, way",0.5833323243235259,1
59,Lord Yupa!,10,2,neutral,0.0,3,"yupa, lord, everyone, ship, see, good, theres, world, give, safe",0.654810443553359,6
60,Nausica!,8,1,neutral,0.0,5,"princess, nausica, wind, valley, come, right, earth, forest, ohmus, return",0.5833324477384526,3
