line_number,cleaned_line,char_length,word_count,sentiment,compound,dominant_topic,topic_keywords,topic_confidence,cluster
1,"...Ive been receiving so many calls, asking about",49,8,neutral,0.0,2,"come, jiji, back, please, want, dont, fly, little, beautiful, wow",0.7051000548574522,2
2,... That ship may or may not be passing over our area soon...,61,12,neutral,0.0,0,"kiki, great, time, may, delivery, good, wait, whats, pretty, maam",0.6606593849343148,0
3,...And Ill let you know as soon as we have more information available...,72,13,negative,-0.4215,1,"sorry, know, much, witch, going, sure, better, thank, girl, one",0.7174806147352547,4
4,"But first, heres the weather forecast",37,6,neutral,0.0,2,"come, jiji, back, please, want, dont, fly, little, beautiful, wow",0.7071010985108688,2
5,"Skies are clearing up, thanks to a high-pressure front moving in from the mountains",83,15,positive,0.4404,4,"thats, okay, youre, look, get, dont, yeah, ill, think, way",0.7053627094244439,3
6,Mild winds will be blowing in from the west...,46,9,neutral,0.0,0,"kiki, great, time, may, delivery, good, wait, whats, pretty, maam",0.2,5
7,Therell be a beautiful full moon lighting up the skies,54,10,positive,0.5994,2,"come, jiji, back, please, want, dont, fly, little, beautiful, wow",0.7511845697992698,2
8,"So if you have been planning something special,",47,8,positive,0.4019,1,"sorry, know, much, witch, going, sure, better, thank, girl, one",0.6685977449657751,4
9,Tomorrow also looks good with clear skies and sun...,52,9,positive,0.6705,1,"sorry, know, much, witch, going, sure, better, thank, girl, one",0.7028904395127863,4
10,Jiji wake up!,13,3,neutral,0.0,2,"come, jiji, back, please, want, dont, fly, little, beautiful, wow",0.6668309838901157,2
11,Hey mom!,8,2,neutral,0.0,4,"thats, okay, youre, look, get, dont, yeah, ill, think, way",0.5972725802605198,3
12,"Oh...Hi, Mrs.Dora.",18,4,neutral,0.0,1,"sorry, know, much, witch, going, sure, better, thank, girl, one",0.6656494863247678,4
13,"And guess what, the radio says therell a full moon!",51,10,neutral,0.0,2,"come, jiji, back, please, want, dont, fly, little, beautiful, wow",0.7668002978649935,2
14,"Did you borrow your fathers radio again, without asking?",56,9,neutral,0.0,2,"come, jiji, back, please, want, dont, fly, little, beautiful, wow",0.7068199036665781,2
15,"Dont worry, he doesnt mind!",27,5,positive,0.4015,4,"thats, okay, youre, look, get, dont, yeah, ill, think, way",0.7229514765802716,3
16,Please exuse me Mrs. Dora...,28,5,positive,0.3182,2,"come, jiji, back, please, want, dont, fly, little, beautiful, wow",0.7034609601395463,2
17,Moooom. Its a perfect midnight for me to leave home!,52,10,positive,0.5848,2,"come, jiji, back, please, want, dont, fly, little, beautiful, wow",0.731682100166654,2
18,You mean tonight? Next month is what you told me.,49,10,neutral,0.0,2,"come, jiji, back, please, want, dont, fly, little, beautiful, wow",0.6217595118967112,2
19,"Yeah, but the next full moon might be on a cloudy night.",56,12,positive,0.1531,0,"kiki, great, time, may, delivery, good, wait, whats, pretty, maam",0.5498241779106877,0
20,And I want to leave on the perfect midnight!,44,9,positive,0.6239,2,"come, jiji, back, please, want, dont, fly, little, beautiful, wow",0.7314945712639149,2
21,Huh? But Kiki...waaaiiit!,25,4,neutral,0.0,0,"kiki, great, time, may, delivery, good, wait, whats, pretty, maam",0.599997270640632,0
22,"My oh my, whats this all about?",31,7,neutral,0.0,0,"kiki, great, time, may, delivery, good, wait, whats, pretty, maam",0.599987731441703,0
23,Its one of our oldest customs that when a witch turns thirteen...,65,12,negative,-0.3612,1,"sorry, know, much, witch, going, sure, better, thank, girl, one",0.7028486353976751,4
24,She has to leave home for a year to begin her training.,55,12,negative,-0.0516,2,"come, jiji, back, please, want, dont, fly, little, beautiful, wow",0.7061347233003398,2
25,You little baby is thirteen?,28,5,neutral,0.0,2,"come, jiji, back, please, want, dont, fly, little, beautiful, wow",0.4776918425582433,2
26,"My goodness, but time flies so quickly!",39,7,positive,0.3164,0,"kiki, great, time, may, delivery, good, wait, whats, pretty, maam",0.703365624566132,0
27,I know...,9,2,neutral,0.0,1,"sorry, know, much, witch, going, sure, better, thank, girl, one",0.5999934553961379,4
28,I remember very well...,23,4,neutral,0.0,3,"yes, tell, see, right, tombo, mean, cat, didnt, stay, stop",0.5990766982092184,1
